ID,Country of Residence,Nationality,Gender,Age,Marital status,Field of Research,Designation [Career Stage],Work environment,Please indicate the total number of MALE group leaders/ bosses you have worked with.,Please indicate the total number of FEMALE group leaders/ bosses you have worked with.,Please indicate below the gender of your current boss.,Indicate the level of support that you have received from your MALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Friends],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Friends],Have you faced workplace gender-bias/discrimination?  [Male collegue],Have you faced workplace gender-bias/discrimination?  [Female collegue],"If you have answered yes in the previous question, please specify from the following :",Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Male],Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Female],"If you have answered yes in the previous question, please specify from the following :",Did you personally respond to the incident?,Did you report the issue to the appropriate authority? ,Who is responsible for addressing such complaints in your work environment? ,How seriously were your complaints taken? ,How comfortable were you in objecting against and/or reporting this issue?,"Was there any POSITIVE impact/outcome from reporting the incident? (e.g. positive change in policy, setting an example for others, support from colleagues, better work environment etc.)","Was there any NEGATIVE impact/outcome from reporting the incident? (e.g. threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment etc.)",Who would you choose/prefer to work with? [Male boss/leader],Who would you choose/prefer to work with? [Female boss/leader],"How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Male collegues]","How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Female collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Male collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Female collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Male collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Female collegues]","If you volunteer for the above mentioned activities, please tell us what incentivizes you.","If you don't volunteer for the above mentioned activities, please tell us your reasons below. ",Have you ever been involved in activities or events to specifically to show support towards your female colleagues or colleagues from other minority groups?,"If your response to the previous question is YES, please provide more details about 'your involvement', 'nature of the event/activity', and 'impact of the event/activity'?",What kind of support at a workplace is most important for empowering female employees or employees from other minority groups?,Do you feel your workplace policies help you manage your professional and personal life?,"What is your group leader’s attitude towards personal leave (pregnancy, maternity/paternity leave, adoption, illness, family etc.) ?",Does your workplace offer sufficient leave of absence for personal reasons?  [Maternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Paternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Sick leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Family Leave],Does your workplace offer one or several of the following childcare and related support?
141,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,University,5,0,Male,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Mostly,Always,Always,Always,Yes,Yes,Gender Bias,Yes,Yes,Gender bias,"No, I did not bother.","No, I did not bother to report.",Supervisor,No actions were taken.,Not comfortable,No,No,Yes,Yes,Mostly,Mostly,Sometimes,Sometimes,Sometimes,Sometimes,We take turns so there is no gender issue here,,Yes,I always go an extra mile to help female colleagues in personal and professional fields,To understand that women are committed to their jobs and that sometimes they would be good scientists but sometimes they need to put their family first. And to support them without making them feel lesser,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s), Changing platform for babies in both gents/ ladies toilets"
142,United Kingdom,United Kingdom,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Technical staff,University,7,1,Male,Moderately,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Rarely,Mostly,Mostly,Mostly,Always,Not Available,Mostly,Yes,No,Gender Bias,Yes,Yes,"Gender bias, Emotional harrassment, Mental harrassment","No, PI presented me with deal from HR","No, I was afraid of being misjudged.",Human Resources,,Not comfortable,,,Maybe,Maybe,Mostly,Mostly,Mostly,Mostly,Sometimes,Mostly,The jobs need doing,,"No, I don’t have such opportunities",,,Rarely,3 miscarriages resulted in restructuring and redundancy,Sufficient,Insufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, On-site or subsidized childcare (nursery, kindergarten)"
143,India,India,Male,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,1,0,Male,Moderately,Always,Not Available,Rarely,Always,Always,Always,Not Available,Always,Not Available,Not Available,Always,Always,Always,No,No,,Yes,Yes,"Gender bias, Emotional harrassment","No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",Designated committee,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, Reporting the incidence results in no immediate obvious negative impact but DOES result in long term negative impact such as bad recommendations, not being given credit in terms of authorship for research work etc.",Yes,Maybe,Mostly,Sometimes,Mostly,Mostly,Sometimes,Sometimes,,,"No, but I want to get involved",,Equal level of respect and due consideration of their inputs. Changes at policy level which equalizes the field.,Rarely,Unwelcome,Insufficient,None,Insufficient,None,None
144,United States,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,3,1,Female,Always,Always,Not Available,Always,Always,Always,Always,Always,Mostly,Not Available,Mostly,Always,Not Available,Always,No,No,,No,No,,Did not face such scenario. ,Not applicable ,"Human Resources, Designated committee",Strict actions were taken.,Very comfortable,Not applicable ,No,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,Natural inclination to keep things organized. Nobody is forcing me or expecting me to do this.,,"No, I don’t have time for such activities",,"Females should be treated and respected equally to their male counterparts. This is thee norm in intense labs in academia in US, where your gender is irrelevant and you are expected to slog. I prefer it this way, females and males both work hard and are valued for their ideas.",Never,Supportive,Sufficient,Sufficient,Sufficient,Insufficient,None
145,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Asst. Professor,University,1,1,Male,Not Available,Always,Not Available,Not Available,Always,Always,Always,Always,Mostly,Not Available,Not Available,Always,Not Available,Always,No,No,,No,No,,,,Designated committee,,,,,Maybe,Yes,Mostly,Mostly,Sometimes,Always,Mostly,Mostly,,,"No, I don’t have such opportunities",,,Rarely,Neutral,Insufficient,None,None,None,None
146,United States,Bangladesh,Male,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,5,2,Female,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Mostly,Mostly,Mostly,Moderately,Moderately,Moderately,Moderately,Mostly,Yes,No,Gender Bias,Yes,No,Gender bias,"No, I was discouraged from responding to the incident.","No, I did not know whom to report.","Supervisor, Human Resources",No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Maybe,Yes,Mostly,Mostly,Mostly,Rarely,Sometimes,Sometimes,,,Yes,I always try to help and support the female/ minority groups,Mental,Never,Supportive,None,None,Sufficient,Sufficient,None
147,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,5,1,Male,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Mostly,Mostly,Mostly,Mostly,Always,Not Available,Mostly,No,No,Mental harrassment,Yes,Yes,Mental harrassment,"Yes, I immediately responded.","Yes, I reported the issue.",Human Resources,,Very comfortable,,No,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,"No, but I want to get involved",,,Mostly,Neutral,Insufficient,Insufficient,Sufficient,Sufficient,"Nursing room(s), Changing platform for babies only in ladies toilets"
148,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,Industry,8,2,Male,Always,Moderately,Not Available,Mostly,Mostly,Always,Moderately,Always,Mostly,Not Available,Mostly,Always,Not Available,Moderately,Yes,No,Gender Bias,No,Yes,Gender bias,"No, I did not bother.","No, I did not bother to report.","Supervisor, Designated committee",,,,,Yes,Yes,Mostly,Mostly,Mostly,Mostly,Sometimes,Mostly,,,Yes,"Wis in our organisation, safety comittee",Just treat them as equals. Females should also not ask for special favours,Sometimes,Supportive,Sufficient,Insufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten)"
149,United Kingdom,India,Female,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Group leader,University,2,1,Male,Moderately,Moderately,Moderately,Mostly,Always,Always,Mostly,Moderately,Moderately,Moderately,Moderately,Always,Always,Mostly,No,Yes,Gender Bias,Yes,Yes,Gender bias,"No, I was afraid of furthering the issue.","No, I did not know whom to report.",Designated committee,,,,,Yes,Yes,Always,Mostly,Sometimes,Always,Mostly,Mostly,,,Yes,I’m an Aurora role model in UK,Awareness events and training,Mostly,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,"Career support programs (meeting, workshop etc.) to empower working mothers"
150,United States,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,0,Male,Always,Mostly,Moderately,Mostly,Always,Always,Always,Mostly,Moderately,Moderately,Moderately,Mostly,Mostly,Mostly,No,No,,Yes,Yes,Gender bias,"Yes, I immediately responded.",Someone else reported the issue on my behalf.,Colleague,Strict actions were taken.,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Yes,Yes,Always,Always,Mostly,Mostly,Mostly,Mostly,,,"No, but I want to get involved",,,Mostly,Never discussed,Insufficient,Insufficient,Sufficient,Sufficient,Extension of work contract to cover the personal leave
151,India,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,1,1,Male,Always,Mostly,Not Available,Not Available,Always,Mostly,Mostly,Rarely,Mostly,Not Available,Not Available,Always,Mostly,Mostly,No,Yes,"Emotional harrassment, Mental harrassment",No,Yes,Emotional harrassment,"Yes, I immediately responded.","No, I did not bother to report.",I don't know.,,Not comfortable,No,,Yes,Maybe,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,Mostly,,,"No, but I want to get involved",,,Mostly,Neutral,Sufficient,Insufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
152,United States,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,2,1,Male,Moderately,Moderately,Not Available,Moderately,Always,Not Available,Mostly,Never,Mostly,Not Available,Mostly,Always,Not Available,Mostly,Not sure,Yes,Gender Bias,Yes,Yes,"Gender bias, Mental harrassment","Where possible I responded, where the position of the person was too high, nothing happened","No, I was afraid of being misjudged.","Supervisor, Human Resources, Designated committee",No actions were taken.,Not comfortable,No,,Maybe,Yes,Mostly,Sometimes,Rarely,Always,Rarely,Mostly,Organization makes workflow easy,,"No, I don’t have such opportunities",,"I feel that the biggest setback that impacts women's careers is child birth. That is when women can not help but take a break. Being not judged for that and having avenues to incorporate this life event without fear or resignation  towards career advancement would help. Also, leadership training and training to ask for  what we think we are worth rather than accepting what we get (this Ifeel has something to do with social norms of expectations of behaviour from women and what kind of behaviour gets accepted or not). In addition training of the majority (such as men) to identify and catch their own biases so that they may not implicitly subject  a gender or minority group to them. ",Sometimes,Neutral,Insufficient,None,Sufficient,Sufficient,None
153,United States,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,3,1,Female,Mostly,Mostly,Not Available,Mostly,Always,Always,Mostly,Always,Mostly,Not Available,Mostly,Always,Not Available,Mostly,No,No,,No,No,,,,"Supervisor, Human Resources",,,,,Yes,Yes,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,,,Yes,Mentoring,Work place safety,Sometimes,Supportive,Sufficient,Insufficient,Sufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
154,United States,India,Female,30 - 40,Don't want to specify,"Science, Technology, Engineering, Mathematics [STEM]",Research Associate -(Masters by Research),Research institution,4,1,Male,Mostly,Mostly,Not Available,Not Available,Always,Rarely,Never,Always,Mostly,Not Available,Not Available,Always,Not Available,Mostly,Yes,No,"Sexual harrassment, Emotional harrassment, Mental harrassment",No,Not sure,,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,This was back in grad school - It was my classmate from undergrad. I could not recognise the harrassment then. He countinued cyber verbal harrassment even after I moved from the place,Somewhat comfortable,My classmates seemed to recognise it later and acknowledged the cyber-bullying and harrassment. But nothing formal or proper efforts were taken,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, He has been gaslighting me & others about me. Some of my classmates started trusting his stories until he started crossing lines in common chat groups when they acknowledged the nasty verbal comments directed towards me. Then I blocked and quit the group",Maybe,Maybe,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,A co-operative and positive work environment,,"No, but I want to get involved",,A support group where people can share their difficult experiences without being judged. Where people can offer support and give them space to heal,Mostly,Supportive,None,None,None,None,"Career support programs (meeting, workshop etc.) to empower working mothers, The support will be given by the PI. My current PI has been very supportive about me having taken a break. The fellowship has no room for break."
155,Singapore,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,4,0,Male,Always,Mostly,Mostly,Always,Always,Always,Always,Not Available,Mostly,Mostly,Always,Always,Not Available,Always,No,No,,Yes,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",Designated committee,,,,,Yes,Yes,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,,,Yes,,,Mostly,Supportive,Insufficient,Insufficient,Sufficient,Insufficient,"Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s)"
156,India,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,2,2,Male,Always,Mostly,Mostly,Mostly,Always,Moderately,Mostly,Always,Mostly,Mostly,Mostly,Always,Moderately,Mostly,No,No,,No,No,,N/A,N/A,,N/A,N/A,N/A,N/A,Yes,Yes,Always,Always,Always,Always,Always,Always,Group work and an opportunity to enhance management skills ,N/A,"No, but I want to get involved",,Opportunities to learn management skills ,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
157,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,2,4,Male,Mostly,Never,Mostly,Moderately,Always,Always,Mostly,Rarely,Rarely,Moderately,Rarely,Always,Not Available,Moderately,Yes,Yes,"Gender Bias, Mental harrassment",Not sure,Not sure,,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,No,,Maybe,Maybe,Always,Rarely,Never,Always,Never,Always,,,"No, I don’t have such opportunities",,,Rarely,Neutral,Insufficient,None,Insufficient,None,Extension of work contract to cover the personal leave
158,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,2,Female,Always,Always,Not Available,Mostly,Always,Moderately,Always,Mostly,Always,Not Available,Not Available,Mostly,Not Available,Always,Not sure,Not sure,,Not sure,Not sure,,"Yes, but I responded later.","No, I did not know whom to report.",Human Resources,,Somewhat comfortable,No,No,Yes,Maybe,Mostly,Sometimes,Rarely,Mostly,Rarely,Mostly,,,"No, but I want to get involved",,,Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, On-site or subsidized childcare (nursery, kindergarten)"
159,India,India,Female,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,Research institution,1,2,Female,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Mostly,Mostly,Moderately,Moderately,Moderately,Always,Always,Mostly,No,Yes,Mental harrassment,Yes,Yes,Mental harrassment,"Yes, but I responded later.","No, I did not know whom to report.",Supervisor,Didn't tell,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Yes,No,Mostly,Mostly,Sometimes,Mostly,Always,Mostly,Lab decorum,,Yes,Not much,Emotional,Rarely,Neutral,Insufficient,Insufficient,Insufficient,Insufficient,Extension of work contract to cover the personal leave
160,United States,India,Female,20 - 30,Social Partnership,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Non-profit institution,4,1,Male,Mostly,Rarely,Not Available,Moderately,Always,Always,Mostly,Mostly,Moderately,Not Available,Not Available,Always,Not Available,Mostly,Yes,Not sure,Emotional harrassment,Yes,No,"Gender bias, Emotional harrassment","No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.","Supervisor, Human Resources",did not report,Not comfortable,did not report,,Maybe,Yes,Mostly,Mostly,Mostly,Mostly,Mostly,Mostly,,,"No, but I want to get involved",,sufficient paid maternity leave and understanding of balancing personal-professional life,Rarely,Unwelcome,Insufficient,Insufficient,Sufficient,Insufficient,Changing platform for babies only in ladies toilets
